ID,port,porta,IP
b1000,20000,30000,
b1001,20001,30001,
b1002,20002,30002,
b1003,20003,30003,
b1004,20004,30004,
b1005,20005,30005,
b1006,20006,30006,
b1007,20007,30007,
b1008,20008,30008,
b1009,20009,30009,
b1010,20010,30010,
b1011,20011,30011,
b1012,20012,30012,
b1013,20013,30013,
b1014,20014,30014,
b1015,20015,30015,
b1016,20016,30016,
b1017,20017,30017,
b1018,20018,30018,
b1019,20019,30019,
b1020,20020,30020,
b1021,20021,30021,
b1022,20022,30022,
b1023,20023,30023,
b1024,20024,30024,
b1025,20025,30025,
b1026,20026,30026,
b1027,20027,30027,
b1028,20028,30028,
b1029,20029,30029,
b1030,20030,30030,
b1031,20031,30031,
b1032,20032,30032,
b1033,20033,30033,
b1034,20034,30034,
b1035,20035,30035,
b1036,20036,30036,
b1037,20037,30037,
b1038,20038,30038,
b1039,20039,30039,
b1040,20040,30040,
b1041,20041,30041,
b1042,20042,30042,
b1043,20043,30043,
b1044,20044,30044,
b1045,20045,30045,
b1046,20046,30046,
b1047,20047,30047,
b1048,20048,30048,
b1049,20049,30049,
b1050,20050,30050,
b1051,20051,30051,
b1052,20052,30052,
b1053,20053,30053,
b1054,20054,30054,
b1055,20055,30055,
b1056,20056,30056,
b1057,20057,30057,
b1058,20058,30058,
b1059,20059,30059,
b1060,20060,30060,
b1061,20061,30061,
b1062,20062,30062,
b1063,20063,30063,
b1064,20064,30064,
b1065,20065,30065,
b1066,20066,30066,
b1067,20067,30067,
b1068,20068,30068,
b1069,20069,30069,
b1070,20070,30070,
b1071,20071,30071,
b1072,20072,30072,
b1073,20073,30073,
b1074,20074,30074,
b1075,20075,30075,
b1076,20076,30076,
b1077,20077,30077,
b1078,20078,30078,
b1079,20079,30079,
b1080,20080,30080,
b1081,20081,30081,
b1082,20082,30082,
b1083,20083,30083,
b1084,20084,30084,
b1085,20085,30085,
b1086,20086,30086,
b1087,20087,30087,
b1088,20088,30088,
b1089,20089,30089,
b1090,20090,30090,
b1091,20091,30091,
b1092,20092,30092,
b1093,20093,30093,
b1094,20094,30094,
b1095,20095,30095,
b1096,20096,30096,
b1097,20097,30097,
b1098,20098,30098,
b1099,20099,30099,
